ticker,company,sector,industry,hq,date_first_added,cik,founded
ELV,Elevance Health,Managed Health Care,"Indianapolis, Indiana",2002-07-25,"0001156039
","2014 (1946)
",
LLY,Eli Lilly and Company,Pharmaceuticals,"Indianapolis, Indiana",1970-12-31,0000059478,"1876
",
EMR,Emerson Electric,Electrical Components & Equipment,"Ferguson, Missouri",1965-03-31,0000032604,"1890
",
ENPH,Enphase,Electronic Components,"Fremont, California",2021-01-07,0001463101,"2006
",
ETR,Entergy,Electric Utilities,"New Orleans, Louisiana",1957-03-04,0000065984,"1913
",
EOG,EOG Resources,Oil & Gas Exploration & Production,"Houston, Texas",2000-11-02,0000821189,"1999
",
EPAM,EPAM Systems,IT Consulting & Other Services,"Newtown, Pennsylvania",2021-12-14,0001352010,"1993
",
EQT,EQT,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",2022-10-03,0000033213,"1888
",
EFX,Equifax,Research & Consulting Services,"Atlanta, Georgia",1997-06-19,0000033185,"1899
",
EQIX,Equinix,Data Center REITs,"Redwood City, California",2015-03-20,0001101239,"1998
",
EQR,Equity Residential,Residential REITs,"Chicago, Illinois",2001-12-03,0000906107,"1969
",
ESS,Essex Property Trust,Residential REITs,"San Mateo, California",2014-04-02,0000920522,"1971
",
EL,Estée Lauder Companies (The),Personal Care Products,"New York City, New York",2006-01-05,0001001250,"1946
",
ETSY,Etsy,Internet & Direct Marketing Retail,"New York City, New York",2020-09-21,0001370637,"2005
",
RE,Everest Re,Reinsurance,"Hamilton, Bermuda",2017-06-19,0001095073,"1973
",
EVRG,Evergy,Electric Utilities,"Kansas City, Missouri",2018-06-05,0001711269,"1909
",
ES,Eversource,Multi-Utilities,"Hartford, Connecticut",2009,0000072741,"1966
",
EXC,Exelon,Multi-Utilities,"Chicago, Illinois",1957-03-04,0001109357,"2000
",
EXPE,Expedia Group,Internet & Direct Marketing Retail,"Seattle, Washington",2007-10-02,"0001324424
","1996
",
EXPD,Expeditors International,Air Freight & Logistics,"Seattle, Washington",2007-10-10,0000746515,"1979
",
EXR,Extra Space Storage,Self-Storage REITs,"Salt Lake City, Utah",2016-01-19,0001289490,"1977
",
XOM,ExxonMobil,Integrated Oil & Gas,"Irving, Texas",1957-03-04,0000034088,"1999
",
FFIV,"F5, Inc.",Communications Equipment,"Seattle, Washington",2010-12-20,0001048695,"1996
",
FDS,FactSet,Financial Exchanges & Data,"Norwalk, Connecticut",2021-12-20,0001013237,"1978
",
FICO,Fair Isaac,Application Software,"Bozeman, Montana",2023-03-20,0000814547,"1956
",
FAST,Fastenal,Building Products,"Winona, Minnesota",2008-09-15,0000815556,"1967
",
FRT,Federal Realty,Retail REITs,"Rockville, Maryland",2016-02-01,0000034903,"1962
",
